,Medical School,Average GPA,Average MCAT Score
119,University at Buffalo Jacobs School of Medicine and Biomedical Sciences,3.66,510
120,University of Alabama School of Medicine,3.78,508.9
121,University of Arizona College of Medicine (Tucson),3.74,508
122,University of Arizona School of Medicine (Phoenix),3.78,515
123,University of Arkansas for Medical Sciences College of Medicine,3.84,509
124,University of California – Davis School of Medicine,3.58,510.52
125,University of California – Irvine School of Medicine,3.78,514.5
126,University of California – Los Angeles David Geffen School of Medicine,3.81,516
127,University of California – Riverside School of Medicine,3.6,509
128,University of California – San Diego School of Medicine,3.77,516.15
129,University of California – San Francisco School of Medicine,3.87,517
130,University of Central Florida College of Medicine,3.81,513
131,University of Chicago Pritzker School of Medicine,3.87,519
132,University of Cincinnati College of Medicine,3.74,515
133,University of Colorado School of Medicine,3.82,515
134,University of Connecticut School of Medicine,3.76,513
135,University of Florida College of Medicine,3.79,514
136,University of Hawaii John A. Burns School of Medicine,3.76,513
137,University of Houston College of Medicine,3.59,506
138,University of Illinois College of Medicine,3.8,513
139,University of Iowa Carver College of Medicine,3.8,515
140,University of Kansas School of Medicine,3.88,510
141,University of Kentucky College of Medicine,3.65,507.5
142,University of Louisville School of Medicine,3.65,507
143,University of Maryland School of Medicine,3.8,515
144,University of Massachusetts Medical School,3.77,514
145,University of Miami Miller School of Medicine,3.75,514
146,University of Michigan Medical School,3.72,515
147,University of Minnesota Medical School - Duluth,3.67,504
148,University of Minnesota Medical School - Twin Cities,3.72,509.8
149,University of Mississippi School of Medicine,3.7,504
150,University of Missouri – Columbia School of Medicine,3.81,509
151,University of Missouri – Kansas City School of Medicine,3.85,510
152,University of Nebraska Medical Center College of Medicine,3.85,512
153,University of Nevada Las Vegas School of Medicine,3.6–3.7,510
154,University of Nevada Reno School of Medicine,3.77,509
155,University of New England College of Osteopathic Medicine,3.57,504
156,University of New Mexico School of Medicine,3.71,505
157,University of North Carolina at Chapel Hill School of Medicine,3.66,512
158,University of North Dakota School of Medicine and Health Sciences,3.8,507
159,University of North Texas Health Science Center at Fort Worth Texas College of Osteopathic Medicine,3.71,507
160,University of Oklahoma College of Medicine,3.81,509.43
